strategy,model,mae_frac,r2,critical_recall,lead_time_min,train_energy_kwh,co2_g,model_size_kb,n_features
half-rate,HistGradientBoosting,0.23004760185571962,-0.05006812506820146,0.3019817073170732,20.38888888888889,1.0995841688579982e-06,0.0004773742278416952,358.1975911458333,24
half-rate,MLP,0.2662906369805475,-0.41288283960514055,0.3178397212543554,28.88888888888889,1.4679448472128974e-06,0.0006313408066829046,95.87434895833333,24
half-rate,RandomForest,0.2231962243465602,-0.016218679052250867,0.31626016260162604,20.38888888888889,5.096268653869629e-06,0.0023890919278065363,37656.7548828125,24
half-rate,Ridge,0.323103407820857,-1.08460029222025,0.26343931475029037,18.72222222222222,5.291236771477593e-09,2.651649713516235e-06,0.6181640625,24
reference,HistGradientBoosting,0.2828679136131797,-0.5927678593906032,0.4001974448315912,23.0,1.1319859160317314e-06,0.0004909163077672323,358.3929036458333,24
reference,MLP,0.5401337065683451,-4.197246541294894,0.29412746806039486,30.055555555555557,1.5040758583280777e-06,0.0006472600807746251,96.03125,24
reference,RandomForest,0.27979954798207723,-0.6020818230032244,0.4060917537746806,23.0,4.824869169129265e-06,0.002270143717527389,37656.7548828125,24
reference,Ridge,0.6327898053691093,-5.506579263551861,0.40985772357723577,20.666666666666668,7.007850541008844e-09,3.4777154525121054e-06,0.6181640625,24
top-10-features,HistGradientBoosting,0.3048787786438225,-0.785497366968743,0.4318031358885017,23.0,7.746504412757025e-07,0.0003373925228913625,329.0999348958333,10
top-10-features,MLP,0.3221628149755739,-0.878641536921625,0.3029108594657375,17.61111111111111,1.7152216699388291e-06,0.0007375336527824403,75.26595052083333,10
top-10-features,RandomForest,0.30455467772780426,-0.8138666580298174,0.43281939605110337,23.0,2.8338640928268433e-06,0.0014177048176527022,37656.7548828125,10
top-10-features,Ridge,0.5426320115265953,-3.4312973775262634,0.39410569105691057,20.61111111111111,4.65446048312717e-09,2.3101429144541424e-06,0.5087890625,10
