variant,precision,mae_frac,r2,critical_recall,lead_time_min,train_energy_kwh,co2_g,full_pickle_kb,numeric_payload_kb
"RF-pruned (50 trees, max_depth=10)",float32 (quantized),0.2798653251953593,-0.6176714929232778,0.4011120789779326,23.0,1.243890290641987e-06,0.00036200492443505994,2641.05078125,291.9427083333333
"RF-pruned (50 trees, max_depth=10)",float64 (baseline),0.27986531505410533,-0.6176690330483577,0.4011120789779326,23.0,1.243890290641987e-06,0.0003620484047793596,2641.05078125,583.8854166666666
"RF-reference (300 trees, full depth)",float32 (quantized),0.2797997919237328,-0.6020809057659342,0.4060917537746806,23.0,9.0551439021918e-06,0.0029134689944865133,37656.7548828125,4175.723958333333
"RF-reference (300 trees, full depth)",float64 (baseline),0.2797998852334398,-0.6020839019471929,0.4060917537746806,23.0,9.0551439021918e-06,0.0029082772233092282,37656.7548828125,8351.447916666666
