condition,strategy,model,variant,n_features,quant_method,mae_frac,r2,critical_recall,lead_time_min,train_time_s,train_energy_kwh,co2_g,size_kb
1,top-10-features,MLP,uncompressed,10,baseline,0.39663423743837,-1.6988245965426323,0.08571428571428572,3.0,1.0740246772766113,3.5351417625419638e-06,0.0010283822597168361,75.3583984375
1,top-10-features,MLP,compressed,10,pruned+quantized(real),0.3963782707211666,-1.6924174372841074,0.0,0.0,1.3869655132293701,4.627793844877641e-06,0.0013461423877471797,21.0107421875
2,reference,RandomForest,uncompressed,24,baseline,0.14211633276340735,0.6149008041366973,0.25,7.5,0.9080009460449219,5.4369537817922305e-06,0.0017114528814073302,24362.7412109375
2,reference,RandomForest,compressed,24,pruned+quantized(payload),0.13748836303187564,0.6259997418641153,0.2625,7.5,0.14028549194335938,8.074566040695463e-07,0.00023504917256595914,226.859375
2,reference,HistGradientBoosting,uncompressed,24,baseline,0.16105641237858914,0.48375345616086585,0.275,7.5,0.23790383338928223,1.4761838274892003e-06,0.0004299126503911099,398.0263671875
2,reference,HistGradientBoosting,compressed,24,pruned only(no quant),0.15116388988336624,0.5537314627258292,0.24375,7.5,0.10076069831848145,5.050736098200812e-07,0.0001472231057981993,102.73828125
2,reference,MLP,uncompressed,24,baseline,0.3457204360029875,-1.5113590377927815,0.13125,7.5,0.3986825942993164,1.3123030657036124e-06,0.0003819519229640191,96.2783203125
2,reference,MLP,compressed,24,pruned+quantized(real),0.2232104146859593,0.03359622004328888,0.2625,25.83333333333333,0.5948922634124756,2.04043029404107e-06,0.0005936549956738331,26.8603515625
2,top-10-features,RandomForest,uncompressed,10,baseline,0.19391673528894762,0.20175300777023586,0.2875,7.5,0.6505606174468994,3.1706454730685473e-06,0.0010753977026752531,24362.7412109375
2,top-10-features,RandomForest,compressed,10,pruned+quantized(payload),0.18975420283917344,0.22238156591833136,0.2875,7.5,0.11028623580932617,4.6676394220963026e-07,0.00013598019412689087,220.03125
2,top-10-features,HistGradientBoosting,uncompressed,10,baseline,0.2129549126543932,0.06951181789405225,0.2875,7.5,0.22539401054382324,1.386099701150039e-06,0.00040348767181878307,368.8349609375
2,top-10-features,HistGradientBoosting,compressed,10,pruned only(no quant),0.1947401851880566,0.22324502078390573,0.2875,7.5,0.10441255569458008,5.028332420692796e-07,0.0001469386130677401,74.1708984375
2,top-10-features,MLP,uncompressed,10,baseline,0.304923910293886,-0.7182051124002022,0.24375,7.5,0.6396012306213379,2.106360196909641e-06,0.0006127970821930292,76.7548828125
2,top-10-features,MLP,compressed,10,pruned+quantized(real),0.3995974092667676,-2.064372536246046,0.23125,6.666666666666667,1.1487910747528076,3.846496694065619e-06,0.001118916828491513,25.685546875
3,reference,RandomForest,uncompressed,24,baseline,0.31631716774196256,-0.7622957502879759,0.7225609756097561,54.5,0.6320552825927734,3.131361856949869e-06,0.0010486418890809607,13805.5478515625
3,reference,RandomForest,compressed,24,pruned+quantized(payload),0.3189760510986485,-0.7856070355472149,0.6951219512195121,54.5,0.12363028526306152,5.091984329523205e-07,0.00014870904137011595,187.734375
3,reference,HistGradientBoosting,uncompressed,24,baseline,0.317175236306065,-0.7536287356504463,0.6798780487804879,54.5,0.2510404586791992,1.4708357892243274e-06,0.0004281089237827542,279.1259765625
3,reference,HistGradientBoosting,compressed,24,pruned only(no quant),0.30226608638574026,-0.6397122003940439,0.524390243902439,54.16666666666666,0.09453415870666504,4.0977427889358583e-07,0.00011960159960169587,102.63671875
3,reference,MLP,uncompressed,24,baseline,0.5794037779845698,-4.218562729731631,0.7225609756097561,54.5,0.25221753120422363,8.319071612299345e-07,0.00024234629491342032,96.083984375
3,reference,MLP,compressed,24,pruned+quantized(real),0.2887798659685685,-0.7543336202397828,0.6432926829268293,54.16666666666666,0.44417357444763184,1.5478734985378776e-06,0.0004505626503880125,26.8603515625
3,top-10-features,RandomForest,uncompressed,10,baseline,0.33237682096526366,-0.9076788121299044,0.7652439024390244,54.5,0.5938796997070312,2.3267582412481874e-06,0.0008360469136296664,13805.5478515625
3,top-10-features,RandomForest,compressed,10,pruned+quantized(payload),0.321143087530068,-0.8153353638056824,0.725609756097561,54.5,0.11109423637390137,4.0098749169031496e-07,0.00011692667487909346,185.375
3,top-10-features,HistGradientBoosting,uncompressed,10,baseline,0.3230700885167137,-0.8186780577214281,0.7621951219512195,54.5,0.18007302284240723,1.0859021097255172e-06,0.0003161722664027253,249.6298828125
3,top-10-features,HistGradientBoosting,compressed,10,pruned only(no quant),0.3048945435991578,-0.6692371499055585,0.4969512195121951,53.66666666666666,0.07848596572875977,3.525163459295744e-07,0.00010291960084806878,74.0927734375
3,top-10-features,MLP,uncompressed,10,baseline,0.2649302971944658,-0.21889490182204052,0.5792682926829268,42.333333333333336,0.0898435115814209,2.972676074863322e-07,8.696772351905459e-05,73.6845703125
3,top-10-features,MLP,compressed,10,pruned+quantized(real),1.0057744543739213,-13.164616781632603,0.8810975609756098,54.5,0.4159281253814697,1.4643560332084931e-06,0.00042627189152109424,20.7373046875
