model,condition,test_bearing,mae_frac,r2,critical_recall,lead_time_min
Ridge,1,Bearing1_2,0.5425954461182981,-3.2506101565387118,0.0,0.0
Ridge,2,Bearing2_2,0.14868643902879985,0.5921387980784438,0.0625,1.5
Ridge,3,Bearing3_2,0.22682193806242773,0.1791200301970678,0.125,33.666666666666664
HistGradientBoosting,1,Bearing1_2,0.2778259013587418,-0.516475538909074,0.2571428571428571,7.333333333333333
HistGradientBoosting,2,Bearing2_2,0.12359866265655962,0.6655237277301963,0.2875,7.5
HistGradientBoosting,3,Bearing3_2,0.24758740106264507,-0.13248991744217964,0.09451219512195122,51.5
